May  6 2025 21:56:26-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.190.65, BgpPeerLastError=0, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 21:57:05-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGOUT(s):CID=0x80b40471;The OPS connection was disconnected. (ServiceType=embedding-script, Reason=the client cut the OPS connection, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 21:57:06-03:00 WAN-RJ-CIR-01 %%01BGP/6/GR_PEER_START(l):CID=0x801404fb;The peer was performing GR. (Peer=169.254.250.209, SourceInterface=-)
May  6 2025 21:57:06-03:00 WAN-RJ-CIR-01 %%01BGP/6/GR_PEER_START(l):CID=0x801404fb;The peer was performing GR. (Peer=169.254.215.249, SourceInterface=-)
May  6 2025 21:57:10-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=OPENCONFIRM, CurrState=ESTABLISHED, InputEvent=RECV_KA, Peer=169.254.215.249, SourceInterface=Eth-Trunk56.2042, VpnInstance=BEVrf)
May  6 2025 21:57:10-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.215.249, BgpPeerLastError=0, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 21:57:10-03:00 WAN-RJ-CIR-01 %%01BGP/6/BNM_PEER_SWITCHIN_SENDING_LIST(l):CID=0x801304fa;The BGP peer entered the batch advertisement queue. (PeerAddress=169.254.215.249, VPNInstance=BEVrf, AddressFamily=IPv4-unicast, UptPeerGrpID=8, SourceInterface=Eth-Trunk56.2042)
May  6 2025 21:57:10-03:00 WAN-RJ-CIR-01 %%01BGP/6/EOR_SENT(l):CID=0x801304fa;End-Of-Rib marker was sent to the peer. (Peer=169.254.215.249, SourceInterface=Eth-Trunk56.2042, VpnInstance=BEVrf, Address Family=IPv4-unicast)
May  6 2025 21:57:10-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.215.249, BgpPeerLastError=0 , BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-hdg-composer-sa-east1-01)
May  6 2025 21:57:10-03:00 WAN-RJ-CIR-01 %%01BGP/6/NOTIFY_RECV(l):CID=0x801304fa;The router received a NOTIFICATION from the peer. (Peer=169.254.159.57, SourceInterface=-, ErrorCode=4, SubErrorCode=0, NotifyInfo=Hold Timer Expired,VpnInstance=BEVrf, ErrorData=NULL)
May  6 2025 21:57:10-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_BACKWARDTRANS_NOTIFICATION(l):CID=0x801304fa;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.159.57, BgpPeerLastError=40, BgpPeerState=1,VpnInstance=BEVrf)
May  6 2025 21:57:10-03:00 WAN-RJ-CIR-01 %%01BGP/6/NOTIFY_RECV(l):CID=0x801304fa;The router received a NOTIFICATION from the peer. (Peer=169.254.143.1, SourceInterface=-, ErrorCode=4, SubErrorCode=0, NotifyInfo=Hold Timer Expired,VpnInstance=BEVrf, ErrorData=NULL)
May  6 2025 21:57:10-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_BACKWARDTRANS_NOTIFICATION(l):CID=0x801304fa;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.143.1, BgpPeerLastError=40, BgpPeerState=1,VpnInstance=BEVrf)
May  6 2025 21:57:10-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x0879000f;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.159.57, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-hdg-spk-prod-sa-east1-01)
May  6 2025 21:57:10-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x0879000f;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.143.1, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-hdg-spk-devqa-us-east1-01)
May  6 2025 21:57:11-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGIN(s):CID=0x80b40471;Succeeded in establishing the OPS connection. (ServiceType=embedding-script, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 21:57:13-03:00 WAN-RJ-CIR-01 %%01BGP/6/GR_PEER_START(l):CID=0x801404fb;The peer was performing GR. (Peer=169.254.0.33, SourceInterface=-)
May  6 2025 21:57:13-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.0.33, BgpPeerLastError=0, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 21:57:13-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=OPENCONFIRM, CurrState=ESTABLISHED, InputEvent=RECV_KA, Peer=169.254.110.153, SourceInterface=Eth-Trunk56.2058, VpnInstance=BEVrf)
May  6 2025 21:57:13-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.110.153, BgpPeerLastError=40, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 21:57:13-03:00 WAN-RJ-CIR-01 %%01BGP/6/BNM_PEER_SWITCHIN_SENDING_LIST(l):CID=0x801304fa;The BGP peer entered the batch advertisement queue. (PeerAddress=169.254.110.153, VPNInstance=BEVrf, AddressFamily=IPv4-unicast, UptPeerGrpID=8, SourceInterface=Eth-Trunk56.2058)
May  6 2025 21:57:13-03:00 WAN-RJ-CIR-01 %%01BGP/6/EOR_SENT(l):CID=0x801304fa;End-Of-Rib marker was sent to the peer. (Peer=169.254.110.153, SourceInterface=Eth-Trunk56.2058, VpnInstance=BEVrf, Address Family=IPv4-unicast)
May  6 2025 21:57:13-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=OPENCONFIRM, CurrState=ESTABLISHED, InputEvent=RECV_KA, Peer=169.254.0.33, SourceInterface=Eth-Trunk56.2032, VpnInstance=BEVrf)
May  6 2025 21:57:13-03:00 WAN-RJ-CIR-01 %%01BGP/6/BNM_PEER_SWITCHIN_SENDING_LIST(l):CID=0x801304fa;The BGP peer entered the batch advertisement queue. (PeerAddress=169.254.0.33, VPNInstance=BEVrf, AddressFamily=IPv4-unicast, UptPeerGrpID=8, SourceInterface=Eth-Trunk56.2032)
May  6 2025 21:57:13-03:00 WAN-RJ-CIR-01 %%01BGP/6/EOR_SENT(l):CID=0x801304fa;End-Of-Rib marker was sent to the peer. (Peer=169.254.0.33, SourceInterface=Eth-Trunk56.2032, VpnInstance=BEVrf, Address Family=IPv4-unicast)
May  6 2025 21:57:13-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.0.33, BgpPeerLastError=0 , BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-tsuru-hub-us-east1-01)
May  6 2025 21:57:10-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x00f1039c;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.159.57, InstanceId=3, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-hdg-spk-prod-sa-east1-01)
May  6 2025 21:57:10-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x00f1039c;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.143.1, InstanceId=3, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-hdg-spk-devqa-us-east1-01)
May  6 2025 21:57:13-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.110.153, BgpPeerLastError=40, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-mda-spk-devqa-sa-east1-01)
May  6 2025 21:57:17-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGOUT(s):CID=0x80b40471;The OPS connection was disconnected. (ServiceType=embedding-script, Reason=the client cut the OPS connection, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 21:57:17-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_BACKWARDTRANS_NOTIFICATION(l):CID=0x801304fa;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.219.161, BgpPeerLastError=40, BgpPeerState=1,VpnInstance=BEVrf)
May  6 2025 21:57:17-03:00 WAN-RJ-CIR-01 %%01BGP/6/NOTIFY_RECV(l):CID=0x801304fa;The router received a NOTIFICATION from the peer. (Peer=169.254.219.161, SourceInterface=Eth-Trunk56.2026, ErrorCode=4, SubErrorCode=0, NotifyInfo=Hold Timer Expired,VpnInstance=BEVrf, ErrorData=NULL)
May  6 2025 21:57:17-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x0879000f;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.219.161, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-hdg-hub-sa-east1-01)
May  6 2025 21:57:18-03:00 WAN-RJ-CIR-01 %%01PORT/5/hwOutputRateChangeOverThresholdNotice(t):CID=0x80fc0012-OID=1.3.6.1.4.1.2011.5.25.157.2.220;The output rate change ratio exceeded the threshold. (IfIndex = 132, InterfaceName = GigabitEthernet0/1/45:0, ThresholdPercent = 50, CurrentStatisticalPeriodRate = 1114 Mbit/s, LastStatisticalPeriodRate = 2243 Mbit/s) 
May  6 2025 21:57:18-03:00 WAN-RJ-CIR-01 %%01PORT/5/hwOutputRateChangeOverThresholdNotice(t):CID=0x80fc0012-OID=1.3.6.1.4.1.2011.5.25.157.2.220;The output rate change ratio exceeded the threshold. (IfIndex = 128, InterfaceName = GigabitEthernet0/1/44:0, ThresholdPercent = 50, CurrentStatisticalPeriodRate = 1144 Mbit/s, LastStatisticalPeriodRate = 2379 Mbit/s) 
May  6 2025 21:57:18-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGIN(s):CID=0x80b40471;Succeeded in establishing the OPS connection. (ServiceType=embedding-script, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 21:57:17-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x00f1039c;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.219.161, InstanceId=3, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-hdg-hub-sa-east1-01)
May  6 2025 21:57:24-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGOUT(s):CID=0x80b40471;The OPS connection was disconnected. (ServiceType=embedding-script, Reason=the client cut the OPS connection, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 21:57:13-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x00f1039c-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.110.153, InstanceId=3, BgpPeerLastError=40, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-mda-spk-devqa-sa-east1-01) 

May  6 2025 21:57:25-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGIN(s):CID=0x80b40471;Succeeded in establishing the OPS connection. (ServiceType=embedding-script, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 21:57:28-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=OPENCONFIRM, CurrState=ESTABLISHED, InputEvent=RECV_KA, Peer=169.254.143.1, SourceInterface=-, VpnInstance=BEVrf)
May  6 2025 21:57:28-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.143.1, BgpPeerLastError=40, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 21:57:28-03:00 WAN-RJ-CIR-01 %%01BGP/6/BNM_PEER_SWITCHIN_SENDING_LIST(l):CID=0x801304fa;The BGP peer entered the batch advertisement queue. (PeerAddress=169.254.143.1, VPNInstance=BEVrf, AddressFamily=IPv4-unicast, UptPeerGrpID=9, SourceInterface=-)
May  6 2025 21:57:28-03:00 WAN-RJ-CIR-01 %%01BGP/6/EOR_SENT(l):CID=0x801304fa;End-Of-Rib marker was sent to the peer. (Peer=169.254.143.1, SourceInterface=-, VpnInstance=BEVrf, Address Family=IPv4-unicast)
May  6 2025 21:57:28-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.143.1, BgpPeerLastError=40, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-hdg-spk-devqa-us-east1-01)
May  6 2025 21:57:30-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGOUT(s):CID=0x80b40471;The OPS connection was disconnected. (ServiceType=embedding-script, Reason=the client cut the OPS connection, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 21:57:30-03:00 WAN-RJ-CIR-01 %%01BGP/6/NOTIFY_SEND(l):CID=0x801304fa;Sent a NOTIFICATION to the peer. (Peer=169.254.219.161, SourceInterface=Eth-Trunk56.2026, ErrorCode=6, SubErrorCode=7,NotifyInfo=CEASE/Connection Collision Resolution, VpnInstance=BEVrf, ErrorData=NULL)
May  6 2025 21:57:35-03:00 WAN-RJ-CIR-01 %%01OSPF/6/OSPF_MAX_AGE_LSA(l):CID=0x8083050f;An LSA is aged. (RouterId=10.143.73.211, LsdbAreaId=0.0.0.0, LsdbType=10, LsdbLsid=1.0.0.18, LsdbRouterId=10.143.73.22)
May  6 2025 21:57:36-03:00 WAN-RJ-CIR-01 %%01BGP/6/NOTIFY_RECV(l):CID=0x801304fa;The router received a NOTIFICATION from the peer. (Peer=169.254.250.209, SourceInterface=Eth-Trunk56.2028, ErrorCode=4, SubErrorCode=0, NotifyInfo=Hold Timer Expired,VpnInstance=BEVrf, ErrorData=NULL)
May  6 2025 21:57:36-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_BACKWARDTRANS_NOTIFICATION(l):CID=0x801304fa;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.250.209, BgpPeerLastError=60, BgpPeerState=1,VpnInstance=BEVrf)
May  6 2025 21:57:36-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x0879000f;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.250.209, BgpPeerLastError=60, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-hdg-hub-us-east1-01)
May  6 2025 21:57:37-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGIN(s):CID=0x80b40471;Succeeded in establishing the OPS connection. (ServiceType=embedding-script, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 21:57:28-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x00f1039c-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.143.1, InstanceId=3, BgpPeerLastError=40, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-hdg-spk-devqa-us-east1-01) 

May  6 2025 21:57:36-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x00f1039c;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.250.209, InstanceId=3, BgpPeerLastError=60, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-hdg-hub-us-east1-01)
May  6 2025 21:57:42-03:00 WAN-RJ-CIR-01 %%01BGP/6/GR_PEER_START(l):CID=0x801404fb;The peer was performing GR. (Peer=169.254.46.169, SourceInterface=-)
May  6 2025 21:57:43-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=OPENCONFIRM, CurrState=ESTABLISHED, InputEvent=RECV_KA, Peer=169.254.46.169, SourceInterface=Eth-Trunk56.2060, VpnInstance=BEVrf)
May  6 2025 21:57:43-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.46.169, BgpPeerLastError=0, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 21:57:43-03:00 WAN-RJ-CIR-01 %%01BGP/6/BNM_PEER_SWITCHIN_SENDING_LIST(l):CID=0x801304fa;The BGP peer entered the batch advertisement queue. (PeerAddress=169.254.46.169, VPNInstance=BEVrf, AddressFamily=IPv4-unicast, UptPeerGrpID=8, SourceInterface=Eth-Trunk56.2060)
May  6 2025 21:57:43-03:00 WAN-RJ-CIR-01 %%01BGP/6/EOR_SENT(l):CID=0x801304fa;End-Of-Rib marker was sent to the peer. (Peer=169.254.46.169, SourceInterface=Eth-Trunk56.2060, VpnInstance=BEVrf, Address Family=IPv4-unicast)
May  6 2025 21:57:43-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGOUT(s):CID=0x80b40471;The OPS connection was disconnected. (ServiceType=embedding-script, Reason=the client cut the OPS connection, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 21:57:43-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.46.169, BgpPeerLastError=0 , BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-mda-spk-devqa-us-east1-01)
May  6 2025 21:57:44-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=OPENCONFIRM, CurrState=ESTABLISHED, InputEvent=RECV_KA, Peer=169.254.159.57, SourceInterface=-, VpnInstance=BEVrf)
May  6 2025 21:57:44-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.159.57, BgpPeerLastError=40, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 21:57:44-03:00 WAN-RJ-CIR-01 %%01BGP/6/NOTIFY_SEND(l):CID=0x801304fa;Sent a NOTIFICATION to the peer. (Peer=169.254.159.57, SourceInterface=-, ErrorCode=6, SubErrorCode=0,NotifyInfo=Unknown ErrCode and ErrSubcode, VpnInstance=BEVrf, ErrorData=NULL)
May  6 2025 21:57:44-03:00 WAN-RJ-CIR-01 %%01BGP/6/BNM_PEER_SWITCHIN_SENDING_LIST(l):CID=0x801304fa;The BGP peer entered the batch advertisement queue. (PeerAddress=169.254.159.57, VPNInstance=BEVrf, AddressFamily=IPv4-unicast, UptPeerGrpID=8, SourceInterface=-)
May  6 2025 21:57:44-03:00 WAN-RJ-CIR-01 %%01BGP/6/EOR_SENT(l):CID=0x801304fa;End-Of-Rib marker was sent to the peer. (Peer=169.254.159.57, SourceInterface=-, VpnInstance=BEVrf, Address Family=IPv4-unicast)
May  6 2025 21:57:45-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_BACKWARDTRANS_NOTIFICATION(l):CID=0x801304fa;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.175.145, BgpPeerLastError=40, BgpPeerState=1,VpnInstance=BEVrf)
May  6 2025 21:57:45-03:00 WAN-RJ-CIR-01 %%01BGP/6/NOTIFY_RECV(l):CID=0x801304fa;The router received a NOTIFICATION from the peer. (Peer=169.254.190.65, SourceInterface=Eth-Trunk56.2044, ErrorCode=4, SubErrorCode=0, NotifyInfo=Hold Timer Expired,VpnInstance=BEVrf, ErrorData=NULL)
May  6 2025 21:57:45-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_BACKWARDTRANS_NOTIFICATION(l):CID=0x801304fa;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.190.65, BgpPeerLastError=40, BgpPeerState=1,VpnInstance=BEVrf)
May  6 2025 21:57:45-03:00 WAN-RJ-CIR-01 %%01BGP/6/NOTIFY_RECV(l):CID=0x801304fa;The router received a NOTIFICATION from the peer. (Peer=169.254.175.145, SourceInterface=Eth-Trunk56.2030, ErrorCode=4, SubErrorCode=0, NotifyInfo=Hold Timer Expired,VpnInstance=BEVrf, ErrorData=NULL)
May  6 2025 21:57:45-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x0879000f;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.175.145, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-tsuru-hub-sa-east1-01)
May  6 2025 21:57:45-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x0879000f;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.190.65, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-hdg-composer-us-east1-01)
